# r/g(r)/dn[At1,At2]:      g(r)[Ge,Ge]            dn(r)            
       0.024788          -0.0141227334        0.0000000000
       0.074363          -0.0423682002        0.0000000000
       0.123939          -0.0706136669        0.0000000000
       0.173515          -0.0988591337        0.0000000000
       0.223090          -0.1271046005        0.0000000000
       0.272666          -0.1553500672        0.0000000000
       0.322241          -0.1835955340        0.0000000000
       0.371817          -0.2118410008        0.0000000000
       0.421393          -0.2400864676        0.0000000000
       0.470968          -0.2683319343        0.0000000000
       0.520544          -0.2965774011        0.0000000000
       0.570120          -0.3248228679        0.0000000000
       0.619695          -0.3530683347        0.0000000000
       0.669271          -0.3813138014        0.0000000000
       0.718846          -0.4095592682        0.0000000000
       0.768422          -0.4378047350        0.0000000000
       0.817998          -0.4660502017        0.0000000000
       0.867573          -0.4942956685        0.0000000000
       0.917149          -0.5225411353        0.0000000000
       0.966724          -0.5507866021        0.0000000000
       1.016300          -0.5790320688        0.0000000000
       1.065876          -0.6072775356        0.0000000000
       1.115451          -0.6355230024        0.0000000000
       1.165027          -0.6637684692        0.0000000000
       1.214602          -0.6920139359        0.0000000000
       1.264178          -0.7202594027        0.0000000000
       1.313754          -0.7485048695        0.0000000000
       1.363329          -0.7767503362        0.0000000000
       1.412905          -0.8049958030        0.0000000000
       1.462480          -0.8332412698        0.0000000000
       1.512056          -0.8614867366        0.0000000000
       1.561632          -0.8897322033        0.0000000000
       1.611207          -0.9179776701        0.0000000000
       1.660783          -0.9462231369        0.0000000000
       1.710359          -0.9744686037        0.0000000000
       1.759934          -1.0027140704        0.0000000000
       1.809510          -1.0309595372        0.0000000000
       1.859085          -1.0592050040        0.0000000000
       1.908661          -1.0874504707        0.0000000000
       1.958237          -1.1156959375        0.0000000000
       2.007812          -1.1439414043        0.0000000000
       2.057388          -1.1721868711        0.0000000000
       2.106963          -1.2004323378        0.0000000000
       2.156539          -1.2286778046        0.0000000000
       2.206115          -1.2569232714        0.0000000000
       2.255690          -1.2851687382        0.0000000000
       2.305266          -0.7489160934        0.0645161290
       2.354841          -0.6508911367        0.1451612903
       2.404417          -1.2345997576        0.1612903226
       2.453993           0.5904312954        0.4032258065
       2.503568           1.6923345530        0.7903225806
       2.553144           1.3486870037        1.1451612903
       2.602719           1.6420392086        1.5483870968
       2.652295           1.4327265470        1.9354838710
       2.701871           2.0729299567        2.4193548387
       2.751446           0.9154339688        2.7580645161
       2.801022           2.7016137727        3.3548387097
       2.850598           1.1149651963        3.7419354839
       2.900173           0.5911901633        4.0645161290
       2.949749          -0.0262214948        4.3064516129
       2.999324           1.2198209855        4.7419354839
       3.048900           1.0372512833        5.1612903226
       3.098476           0.2296289785        5.4677419355
       3.148051           0.1699679600        5.7741935484
       3.197627           0.6199951167        6.1612903226
       3.247202           0.1537130684        6.4838709677
       3.296778          -0.1020294606        6.7741935484
       3.346354           0.2322949261        7.1290322581
       3.395929          -0.2103811252        7.4193548387
       3.445505          -0.0745908069        7.7419354839
       3.495080          -0.4088746515        8.0161290323
       3.544656          -0.3674689619        8.3064516129
       3.594232          -0.1469518206        8.6451612903
       3.643807          -0.0224884577        9.0161290323
       3.693383          -0.1663840747        9.3709677419
       3.742958          -0.5679757168        9.6612903226
       3.792534          -0.1019703614       10.0483870968
       3.842110          -0.0721035435       10.4516129032
       3.891685           0.2906753344       10.9354838710
       3.941261           0.0657909773       11.3870967742
       3.990837          -0.1542080783       11.8064516129
       4.040412          -0.6110646385       12.1451612903
       4.089988          -0.5007158389       12.5161290323
       4.139563          -0.0793170067       12.9838709677
       4.189139           0.0984526111       13.5000000000
       4.238715          -0.3426288884       13.9354838710
       4.288290           0.1362352458       14.4838709677
       4.337866          -0.7464856949       14.8548387097
       4.387441          -0.2010042312       15.3548387097
       4.437017          -0.2549331782       15.8548387097
       4.486593           0.6343816571       16.5645161290
       4.536168          -0.4328280333       17.0483870968
       4.585744          -0.4843339329       17.5322580645
       4.635319           0.2367142792       18.1935483871
       4.684895          -0.3080918962       18.7419354839
       4.734471          -0.3610605183       19.2903225806
       4.784046          -0.1414966649       19.9032258065
       4.833622           0.0729840056       20.5806451613
       4.883197           0.0826636037       21.2741935484
       4.932773          -0.3041470360       21.8870967742
       4.982349           0.0997586400       22.6129032258
       5.031924           0.4951491569       23.4516129032
       5.081500           0.3060549755       24.2580645161
       5.131076          -0.2603654142       24.9354838710
       5.180651          -0.3140941303       25.6129032258
       5.230227           0.7523275154       26.5806451613
       5.279802           0.3193201649       27.4516129032
       5.329378          -0.5945286511       28.0967741935
       5.378954           0.2619782392       28.9838709677
       5.428529           0.2632846713       29.8870967742
       5.478105          -0.2704459233       30.6612903226
       5.527680          -0.6773966509       31.3387096774
       5.577256           1.1973851533       32.5483870968
       5.626832          -0.1414326962       33.4032258065
       5.676407          -0.0818125313       34.2903225806
       5.725983          -0.0237138329       35.2096774194
       5.775558           0.1455635760       36.1935483871
       5.825134           0.1997767381       37.2096774194
       5.874710           0.8063960562       38.4193548387
       5.924285          -0.4647661365       39.2741935484
       5.973861           0.6265078000       40.4677419355
       6.023437           0.1870064835       41.5483870968
       6.073012           0.6113632436       42.7741935484
       6.122588          -0.8314294775       43.5806451613
       6.172163           0.0677812018       44.6774193548
       6.221739           0.1155573584       45.8064516129
       6.271315          -0.2010112038       46.8548387097
       6.320890           0.1560615482       48.0322580645
       6.370466           0.7624877850       49.4193548387
       6.420041          -0.0091332672       50.5806451613
       6.469617          -0.2664872720       51.6774193548
       6.519193          -0.6201668381       52.6774193548
       6.568768          -0.2755367131       53.8064516129
       6.618344           1.1941274895       55.4354838710
       6.667919          -0.1396212880       56.6451612903
       6.717495           0.3863089161       58.0483870968
       6.767071           0.1829640050       59.4032258065
       6.816646          -0.4951078138       60.5483870968
       6.866222          -0.6899681482       61.6451612903
       6.915797           0.0113795347       63.0000000000
       6.965373          -0.2318243070       64.2903225806
       7.014949           0.1456616101       65.7258064516
       7.064524           1.1114730055       67.4838709677
       7.114100          -0.8499527667       68.5645161290
       7.163676          -0.2001145363       69.8548387097
       7.213251          -0.3178443801       71.0967741935
       7.262827           0.3116299561       72.5322580645
       7.312402           0.1491540156       73.9032258065
       7.361978           0.1371595031       75.2580645161
       7.411554           0.5448050118       76.7258064516
       7.461129          -0.2046885609       77.9516129032
       7.510705          -0.2744356326       79.1451612903
       7.560280          -0.2355229915       80.3387096774
       7.609856           0.1414664164       81.6290322581
       7.659432           0.0770356400       82.8870967742
       7.709007           0.4748529534       84.2419354839
       7.758583          -0.4686043624       85.3225806452
       7.808158           0.7166616045       86.7096774194
       7.857734          -0.1329996442       87.8548387097
       7.907310           0.2330101362       89.0806451613
       7.956885          -0.4660874555       90.1129032258
       8.006461           0.2988742405       91.3225806452
       8.056036           0.1041099090       92.4677419355
       8.105612          -0.2999189066       93.5000000000
       8.155188          -0.1686172617       94.5483870968
       8.204763          -0.1008386888       95.5967741935
       8.254339           0.2587804688       96.7096774194
       8.303915           0.3417038259       97.8225806452
       8.353490           0.2041106194       98.8870967742
       8.403066           0.5231965010      100.0000000000
       8.452641          -0.8750045908      100.8064516129
       8.502217           0.5666040976      101.8870967742
       8.551793           0.5092944911      102.9354838710
       8.601368           1.2149185944      104.0967741935
       8.650944           0.2156519473      105.0483870968
       8.700519           0.2382697255      105.9838709677
       8.750095          -0.9334132544      106.6935483871
       8.799671          -0.8446585093      107.4032258065
       8.849246           0.1291409865      108.2580645161
       8.898822          -0.7461912361      108.9516129032
       8.948397           0.3995982506      109.8064516129
       8.997973          -0.0918861313      110.5645161290
       9.047549           0.7141905223      111.4193548387
       9.097124          -0.7135175381      112.0483870968
       9.146700           0.4887476066      112.8225806452
       9.196275          -2.2824997828      113.2096774194
       9.245851           1.2610721726      114.0322580645
       9.295427           0.4321745828      114.7258064516
       9.345002           0.5074733023      115.4032258065
       9.394578          -0.1330090930      115.9838709677
       9.444154          -0.3750307140      116.5161290323
       9.493729           1.1116760682      117.1774193548
       9.543305          -1.2586947237      117.5806451613
       9.592880           1.4029164395      118.2096774194
       9.642456          -0.4689985814      118.6451612903
       9.692032          -0.3924158455      119.0645161290
       9.741607          -1.5618960202      119.3709677419
       9.791183          -0.4205224580      119.7419354839
       9.840758          -0.3110972158      120.0967741935
       9.890334          -0.1798742200      120.4354838710
