# r/G(r)/dn[At1,At2]:      G(r)[Ge,Ge]            dn(r)
          0.024     -0.0150712192      0.0000000000
          0.072     -0.0452136577      0.0000000000
          0.120     -0.0753560962      0.0000000000
          0.168     -0.1054985347      0.0000000000
          0.216     -0.1356409732      0.0000000000
          0.264     -0.1657834117      0.0000000000
          0.312     -0.1959258502      0.0000000000
          0.360     -0.2260682887      0.0000000000
          0.408     -0.2562107272      0.0000000000
          0.456     -0.2863531657      0.0000000000
          0.504     -0.3164956042      0.0000000000
          0.552     -0.3466380426      0.0000000000
          0.600     -0.3767804811      0.0000000000
          0.648     -0.4069229196      0.0000000000
          0.696     -0.4370653581      0.0000000000
          0.744     -0.4672077966      0.0000000000
          0.792     -0.4973502351      0.0000000000
          0.840     -0.5274926736      0.0000000000
          0.888     -0.5576351121      0.0000000000
          0.936     -0.5877775506      0.0000000000
          0.984     -0.6179199891      0.0000000000
          1.032     -0.6480624275      0.0000000000
          1.080     -0.6782048660      0.0000000000
          1.128     -0.7083473045      0.0000000000
          1.176     -0.7384897430      0.0000000000
          1.224     -0.7686321815      0.0000000000
          1.272     -0.7987746200      0.0000000000
          1.320     -0.8289170585      0.0000000000
          1.368     -0.8590594970      0.0000000000
          1.416     -0.8892019355      0.0000000000
          1.464     -0.9193443740      0.0000000000
          1.512     -0.9494868125      0.0000000000
          1.560     -0.9796292509      0.0000000000
          1.608     -1.0097716894      0.0000000000
          1.656     -1.0399141279      0.0000000000
          1.704     -1.0700565664      0.0000000000
          1.752     -1.1001990049      0.0000000000
          1.800     -1.1303414434      0.0000000000
          1.848     -1.1604838819      0.0000000000
          1.896     -1.1906263204      0.0000000000
          1.944     -1.2207687589      0.0000000000
          1.992     -1.2509111974      0.0000000000
          2.040     -1.2810536359      0.0000000000
          2.088     -1.3111960743      0.0000000000
          2.136     -1.3413385128      0.0000000000
          2.184     -1.3714809513      0.0000000000
          2.232     -1.4016233898      0.0000000000
          2.280     -1.4317658283      0.0000000000
          2.328     -1.4619082668      0.0000000000
          2.376     -1.0676236062      0.0483870968
          2.424     -0.9674956013      0.1129032258
          2.471     -0.3284989324      0.2580645161
          2.519      0.2850082663      0.4838709677
          2.567      0.8744551844      0.7903225806
          2.615      2.3406454282      1.2903225806
          2.663      3.5005528574      1.9516129032
          2.711      2.3872598769      2.4838709677
          2.759      2.4077784673      3.0322580645
          2.807      2.9054105354      3.6612903226
          2.855      1.8552095216      4.1612903226
          2.903      2.9223024815      4.8225806452
          2.951      1.6762735508      5.3225806452
          2.999      1.0294021327      5.7419354839
          3.047      1.1739541508      6.1935483871
          3.095      0.6616341242      6.5806451613
          3.143      0.4847914006      6.9516129032
