# Faber-Ziman Sij(q)             [Ge,Ge]                   
        0.4489111783           0.1337420607   
        0.4980133560           0.0555051534   
        0.5471155336          -0.0033087950   
        0.5962177112          -0.0416444469   
        0.6453198889          -0.0601731402   
        0.6944220665          -0.0611008307   
        0.7435242442          -0.0478353125   
        0.7926264218          -0.0245503352   
        0.8417285995           0.0043045563   
        0.8908307771           0.0344937972   
        0.9399329547           0.0624310012   
        0.9890351324           0.0855123298   
        1.0381373100           0.1023135264   
        1.0872394877           0.1126331859   
        1.1363416653           0.1173841509   
        1.1854438430           0.1183540045   
        1.2345460206           0.1178719753   
        1.2836481982           0.1184309611   
        1.3327503759           0.1223182574   
        1.3818525535           0.1313062052   
        1.4309547312           0.1464446228   
        1.4800569088           0.1679817641   
        1.5291590865           0.1954216807   
        1.5782612641           0.2277058167   
        1.6273634417           0.2634882133   
        1.6764656194           0.3014594262   
        1.7255677970           0.3406662387   
        1.7746699747           0.3807737328   
        1.8237721523           0.4222235109   
        1.8728743300           0.4662560246   
        1.9219765076           0.5147842874   
        1.9710786853           0.5701281628   
        2.0201808629           0.6346399398   
        2.0692830405           0.7102699764   
        2.1183852182           0.7981331126   
        2.1674873958           0.8981403679   
        2.2165895735           1.0087552341   
        2.2656917511           1.1269199526   
        2.3147939288           1.2481760786   
        2.3638961064           1.3669780175   
        2.4129982840           1.4771714897   
        2.4621004617           1.5725847798   
        2.5112026393           1.6476627081   
        2.5603048170           1.6980643600   
        2.6094069946           1.7211473634   
        2.6585091723           1.7162740992   
        2.7076113499           1.6848972171   
        2.7567135275           1.6304103638   
        2.8058157052           1.5577811295   
        2.8549178828           1.4730124402   
        2.9040200605           1.3825016184   
        2.9531222381           1.2923796493   
        3.0022244158           1.2079147206   
        3.0513265934           1.1330535886   
        3.1004287711           1.0701533100   
        3.1495309487           1.0199276350   
        3.1986331263           0.9816012530   
        3.2477353040           0.9532359802   
        3.2968374816           0.9321703733   
        3.3459396593           0.9155015482   
        3.3950418369           0.9005368972   
        3.4441440146           0.8851536997   
        3.4932461922           0.8680241515   
        3.5423483698           0.8486884292   
        3.5914505475           0.8274845342   
        3.6405527251           0.8053662595   
        3.6896549028           0.7836559342   
        3.7387570804           0.7637842921   
        3.7878592581           0.7470654466   
        3.8369614357           0.7345419683   
        3.8860636133           0.7269164789   
        3.9351657910           0.7245659992   
        3.9842679686           0.7276176542   
        4.0333701463           0.7360527589   
        4.0824723239           0.7498029251   
        4.1315745016           0.7688070373   
        4.1806766792           0.7930103333   
        4.2297788568           0.8223034809   
        4.2788810345           0.8564166596   
        4.3279832121           0.8947973786   
        4.3770853898           0.9365079141   
        4.4261875674           0.9801771092   
        4.4752897451           1.0240318443   
        4.5243919227           1.0660175908   
        4.5734941004           1.1039983354   
        4.6225962780           1.1360078192   
        4.6716984556           1.1605104364   
        4.7208006333           1.1766243385   
        4.7699028109           1.1842628379   
        4.8190049886           1.1841627327   
        4.8681071662           1.1777875069   
        4.9172093439           1.1671158503   
        4.9663115215           1.1543472711   
        5.0154136991           1.1415725331   
        5.0645158768           1.1304640497   
        5.1136180544           1.1220386522   
        5.1627202321           1.1165327261   
        5.2118224097           1.1134098857   
        5.2609245874           1.1114978666   
        5.3100267650           1.1092286186   
        5.3591289426           1.1049379218   
        5.4082311203           1.0971714955   
        5.4573332979           1.0849451097   
        5.5064354756           1.0679163122   
        5.5555376532           1.0464428679   
        5.6046398309           1.0215243211   
        5.6537420085           0.9946440308   
        5.7028441861           0.9675456256   
        5.7519463638           0.9419870703   
        5.8010485414           0.9195160362   
        5.8501507191           0.9013023957   
        5.8992528967           0.8880494723   
        5.9483550744           0.8799884253   
        5.9974572520           0.8769435261   
        6.0465594297           0.8784435140   
        6.0956616073           0.8838480755   
        6.1447637849           0.8924596687   
        6.1938659626           0.9035986963   
        6.2429681402           0.9166322645   
        6.2920703179           0.9309604083   
        6.3411724955           0.9459754516   
        6.3902746732           0.9610173692   
        6.4393768508           0.9753489858   
        6.4884790284           0.9881694249   
        6.5375812061           0.9986737261   
        6.5866833837           1.0061534718   
        6.6357855614           1.0101207208   
        6.6848877390           1.0104285626   
        6.7339899167           1.0073584536   
        6.7830920943           1.0016481803   
        6.8321942719           0.9944443009   
        6.8812964496           0.9871773287   
