#  q,  S(q) X-rays
   0.4785147143       -0.0497626022
   0.5275576848       -0.1057874453
   0.5766006554       -0.1139800312
   0.6256436260       -0.0868907801
   0.6746865966       -0.0400391719
   0.7237295671        0.0105771424
   0.7727725377        0.0509068992
   0.8218155083        0.0708565425
   0.8708584788        0.0656086329
   0.9199014494        0.0360735306
   0.9689444200       -0.0115706252
   1.0179873906       -0.0671614000
   1.0670303611       -0.1184520078
   1.1160733317       -0.1533328637
   1.1651163023       -0.1620348011
   1.2141592728       -0.1389773983
   1.2632022434       -0.0839767076
   1.3122452140       -0.0026175230
   1.3612881846        0.0942865532
   1.4103311551        0.1920927580
   1.4593741257        0.2744131027
   1.5084170963        0.3256068775
   1.5574600668        0.3333415883
   1.6065030374        0.2908621516
   1.6555460080        0.1986353451
   1.7045889786        0.0651077877
   1.7536319491       -0.0935774408
   1.8026749197       -0.2549309557
   1.8517178903       -0.3924229699
   1.9007608608       -0.4785071532
   1.9498038314       -0.4880232023
   1.9988468020       -0.4015756036
   2.0478897726       -0.2084695907
   2.0969327431        0.0911810589
   2.1459757137        0.4854783805
   2.1950186843        0.9510796597
   2.2440616548        1.4548869697
   2.2931046254        1.9569635032
   2.3421475960        2.4144028991
   2.3911905666        2.7857531678
   2.4402335371        3.0355138992
   2.4892765077        3.1381957693
   2.5383194783        3.0814607157
   2.5873624488        2.8679485368
   2.6364054194        2.5155330906
   2.6854483900        2.0559243053
   2.7344913606        1.5317214985
   2.7835343311        0.9922067859
   2.8325773017        0.4883222003
   2.8816202723        0.0673806785
   2.9306632428       -0.2318953296
   2.9797062134       -0.3834404910
   3.0287491840       -0.3765468681
   3.0777921546       -0.2168806390
   3.1268351251        0.0743065840
   3.1758780957        0.4626809419
   3.2249210663        0.9047494059
   3.2739640368        1.3527392228
   3.3230070074        1.7598578494
   3.3720499780        2.0853163753
   3.4210929486        2.2985350872
   3.4701359191        2.3820577313
   3.5191788897        2.3328671217
   3.5682218603        2.1619971902
   3.6172648308        1.8925487591
   3.6663078014        1.5564104191
   3.7153507720        1.1901367598
   3.7643937426        0.8305247576
   3.8134367131        0.5104450371
   3.8624796837        0.2554277039
   3.9115226543        0.0813821947
   3.9605656248       -0.0063347313
   4.0096085954       -0.0124752094
   4.0586515660        0.0497654842
   4.1076945366        0.1613310141
   4.1567375071        0.3003942267
   4.2057804777        0.4455061230
   4.2548234483        0.5783769941
   4.3038664188        0.6859436946
   4.3529093894        0.7615008859
   4.4019523600        0.8048212754
   4.4509953306        0.8213380277
   4.5000383011        0.8205902213
   4.5490812717        0.8142221739
   4.5981242423        0.8138688278
   4.6471672128        0.8292491620
   4.6962101834        0.8667326006
   4.7452531540        0.9285511714
   4.7942961246        1.0127189300
   4.8433390951        1.1136079719
   4.8923820657        1.2230343621
   4.9414250363        1.3316410839
   4.9904680068        1.4303368137
   5.0395109774        1.5115607197
   5.0885539480        1.5701900379
   5.1375969186        1.6039791545
   5.1866398891        1.6135032131
   5.2356828597        1.6016616402
   5.2847258303        1.5728644360
   5.3337688008        1.5320667892
   5.3828117714        1.4838302926
   5.4318547420        1.4315716401
   5.4808977126        1.3771168844
   5.5299406831        1.3206196497
   5.5789836537        1.2608358305
   5.6280266243        1.1956863552
   5.6770695948        1.1229931863
   5.7261125654        1.0412486120
   5.7751555360        0.9502770137
   5.8241985066        0.8516705523
   5.8732414771        0.7489208810
   5.9222844477        0.6472206582
   5.9713274183        0.5529625755
   6.0203703888        0.4730112167
   6.0694133594        0.4138572043
   6.1184563300        0.3807791234
   6.1674993006        0.3771350804
   6.2165422711        0.4038839884
   6.2655852417        0.4594010063
   6.3146282123        0.5396080535
   6.3636711828        0.6383958404
   6.4127141534        0.7482749705
   6.4617571240        0.8611656643
   6.5108000946        0.9692218572
   6.5598430651        1.0655868330
   6.6088860357        1.1449928860
   6.6579290063        1.2041435765
   6.7069719768        1.2418494649
   6.7560149474        1.2589218067
   6.8050579180        1.2578588093
   6.8541008886        1.2423818914
   6.9031438591        1.2168924963
   6.9521868297        1.1859225665
   7.0012298003        1.1536445035
   7.0502727708        1.1234913346
   7.0993157414        1.0979177840
   7.1483587120        1.0783112557
   7.1974016826        1.0650415188
   7.2464446531        1.0576217081
   7.2954876237        1.0549428321
   7.3445305943        1.0555400216
   7.3935735648        1.0578509882
   7.4426165354        1.0604344711
   7.4916595060        1.0621271606
   7.5407024766        1.0621297279
   7.5897454471        1.0600242390
   7.6387884177        1.0557347796
   7.6878313883        1.0494494382
   7.7368743588        1.0415243901
   7.7859173294        1.0323897875
   7.8349603000        1.0224731331
   7.8840032706        1.0121498078
   7.9330462411        1.0017236555
   7.9820892117        0.9914341927
   8.0311321823        0.9814821426
   8.0801751528        0.9720622525
   8.1292181234        0.9633920462
   8.1782610940        0.9557271093
   8.2273040646        0.9493572113
   8.2763470351        0.9445822226
   8.3253900057        0.9416714942
   8.3744329763        0.9408142418
   8.4234759468        0.9420708284
   8.4725189174        0.9453352615
   8.5215618880        0.9503176640
   8.5706048586        0.9565522459
   8.6196478291        0.9634319988
   8.6686907997        0.9702667342
   8.7177337703        0.9763570182
   8.7667767408        0.9810737442
   8.8158197114        0.9839320144
   8.8648626820        0.9846488442
   8.9139056526        0.9831767870
   8.9629486231        0.9797094082
   9.0119915937        0.9746589109
   9.0610345643        0.9686103448
   9.1100775348        0.9622599821
   9.1591205054        0.9563470950
   9.2081634760        0.9515882977
   9.2572064466        0.9486219350
   9.3062494171        0.9479671360
   9.3552923877        0.9499987719
   9.4043353583        0.9549363898
   9.4533783288        0.9628429333
   9.5024212994        0.9736281713
   9.5514642700        0.9870523899
   9.6005072406        1.0027278809
   9.6495502111        1.0201185607
   9.6985931817        1.0385409560
   9.7476361523        1.0571720150
   9.7966791228        1.0750700569
   9.8457220934        1.0912142634
   9.8947650640        1.1045654037
   9.9438080346        1.1141463556
   9.9928510051        1.1191361871
  10.0418939757        1.1189670662
  10.0909369463        1.1134101023
  10.1399799168        1.1026352430
  10.1890228874        1.0872320611
  10.2380658580        1.0681826737
  10.2871088286        1.0467846263
  10.3361517991        1.0245293473
  10.3851947697        1.0029494227
  10.4342377403        0.9834540590
  10.4832807108        0.9671754618
  10.5323236814        0.9548486531
  10.5813666520        0.9467432633
  10.6304096226        0.9426585204
  10.6794525931        0.9419831079
  10.7284955637        0.9438113093
  10.7775385343        0.9470976520
  10.8265815048        0.9508257398
  10.8756244754        0.9541643506
  10.9246674460        0.9565857506
  10.9737104166        0.9579273509
  11.0227533871        0.9583873277
  11.0717963577        0.9584560777
  11.1208393283        0.9587964415
  11.1698822988        0.9600945566
  11.2189252694        0.9629083913
  11.2679682400        0.9675414866
  11.3170112106        0.9739650332
  11.3660541811        0.9818028688
  11.4150971517        0.9903827422
  11.4641401223        0.9988452436
  11.5131830928        1.0062912617
  11.5622260634        1.0119416033
  11.6112690340        1.0152798275
  11.6603120046        1.0161519326
  11.7093549751        1.0148038673
  11.7583979457        1.0118486826
  11.8074409163        1.0081675849
  11.8564838868        1.0047609991
  11.9055268574        1.0025748916
  11.9545698280        1.0023323882
  12.0036127986        1.0044002619
  12.0526557691        1.0087142123
  12.1016987397        1.0147769551
  12.1507417103        1.0217307129
  12.1997846808        1.0284929006
  12.2488276514        1.0339328588
  12.2978706220        1.0370603135
  12.3469135926        1.0371940644
  12.3959565631        1.0340826030
  12.4449995337        1.0279563564
  12.4940425043        1.0195026577
  12.5430854748        1.0097673816
  12.5921284454        0.9999992605
  12.6411714160        0.9914621719
  12.6902143866        0.9852456426
  12.7392573571        0.9821036749
  12.7883003277        0.9823469040
  12.8373432983        0.9858039943
  12.8863862688        0.9918567009
  12.9354292394        0.9995411393
  12.9844722100        1.0076975091
  13.0335151806        1.0151434598
  13.0825581511        1.0208435147
  13.1316011217        1.0240487784
  13.1806440923        1.0243870372
  13.2296870628        1.0218921644
  13.2787300334        1.0169718769
  13.3277730040        1.0103226017
  13.3768159746        1.0028079487
  13.4258589451        0.9953218792
  13.4749019157        0.9886585713
  13.5239448863        0.9834083028
  13.5729878568        0.9798931068
  13.6220308274        0.9781486286
  13.6710737980        0.9779508709
  13.7201167686        0.9788796655
  13.7691597391        0.9804057801
  13.8182027097        0.9819862029
  13.8672456803        0.9831524605
  13.9162886508        0.9835794822
  13.9653316214        0.9831268372
  14.0143745920        0.9818492260
  14.0634175626        0.9799779889
  14.1124605331        0.9778793419
  14.1615035037        0.9759975419
  14.2105464743        0.9747920700
  14.2595894448        0.9746773221
  14.3086324154        0.9759716064
  14.3576753860        0.9788599693
  14.4067183566        0.9833730196
  14.4557613271        0.9893819092
  14.5048042977        0.9966081876
  14.5538472683        1.0046464218
  14.6028902389        1.0129971324
  14.6519332094        1.0211075136
  14.7009761800        1.0284173349
  14.7500191506        1.0344071911
  14.7990621211        1.0386458284
  14.8481050917        1.0408327120
  14.8971480623        1.0408315500
  14.9461910329        1.0386904094
  14.9952340034        1.0346446228
  15.0442769740        1.0291000355
  15.0933199446        1.0225962550
  15.1423629151        1.0157522387
  15.1914058857        1.0091993759
