# Ashcroft-Langreth Sij(q)       [Ge,Ge]                   
        0.4505819677           0.0606802660   
        0.4996808038           0.0041667823   
        0.5487796399          -0.0216613969   
        0.5978784759          -0.0231463040   
        0.6469773120          -0.0083986130   
        0.6960761481           0.0142173802   
        0.7451749841           0.0374368601   
        0.7942738202           0.0560756711   
        0.8433726562           0.0675139843   
        0.8924714923           0.0716573096   
        0.9415703284           0.0704463766   
        0.9906691644           0.0670624514   
        1.0397680005           0.0650154939   
        1.0888668366           0.0673041176   
        1.1379656726           0.0758015178   
        1.1870645087           0.0909602945   
        1.2361633448           0.1118558286   
        1.2852621808           0.1365183269   
        1.3343610169           0.1624515623   
        1.3834598530           0.1872107488   
        1.4325586890           0.2089156577   
        1.4816575251           0.2266043359   
        1.5307563611           0.2403787522   
        1.5798551972           0.2513445794   
        1.6289540333           0.2613911896   
        1.6780528693           0.2728854091   
        1.7271517054           0.2883587839   
        1.7762505415           0.3102535502   
        1.8253493775           0.3407626810   
        1.8744482136           0.3817632220   
        1.9235470497           0.4348097632   
        1.9726458857           0.5011351329   
        2.0217447218           0.5816036180   
        2.0708435579           0.6765788938   
        2.1199423939           0.7857001793   
        2.1690412300           0.9075978604   
        2.2181400661           1.0396139015   
        2.2672389021           1.1776132076   
        2.3163377382           1.3159728441   
        2.3654365742           1.4478143083   
        2.4145354103           1.5655027126   
        2.4636342464           1.6613834205   
        2.5127330824           1.7286722484   
        2.5618319185           1.7623716790   
        2.6109307546           1.7600628928   
        2.6600295906           1.7224282136   
        2.7091284267           1.6533918004   
        2.7582272628           1.5598233383   
        2.8073260988           1.4508203297   
        2.8564249349           1.3366564988   
        2.9055237710           1.2275433064   
        2.9546226070           1.1323872170   
        3.0037214431           1.0577300923   
        3.0528202791           1.0070325956   
        3.1019191152           0.9804054952   
        3.1510179513           0.9748210817   
        3.2001167873           0.9847595833   
        3.2492156234           1.0031771803   
        3.2983144595           1.0226347617   
        3.3474132955           1.0364076329   
        3.3965121316           1.0394082519   
        3.4456109677           1.0287933629   
        3.4947098037           1.0041854550   
        3.5438086398           0.9675050576   
        3.5929074759           0.9224729544   
        3.6420063119           0.8738893969   
        3.6911051480           0.8268235870   
        3.7402039841           0.7858483460   
        3.7893028201           0.7544338833   
        3.8384016562           0.7345767475   
        3.8875004922           0.7266937046   
        3.9365993283           0.7297644468   
        3.9856981644           0.7416696033   
        4.0347970004           0.7596469517   
        4.0838958365           0.7807811858   
        4.1329946726           0.8024500145   
        4.1820935086           0.8226680316   
        4.2311923447           0.8402944674   
        4.2802911808           0.8550961625   
        4.3293900168           0.8676783700   
        4.3784888529           0.8793105296   
        4.4275876890           0.8916812301   
        4.4766865250           0.9066172550   
        4.5257853611           0.9257981121   
        4.5748841971           0.9504923285   
        4.6239830332           0.9813370756   
        4.6730818693           1.0181793610   
        4.7221807053           1.0599948154   
        4.7712795414           1.1048977298   
        4.8203783775           1.1502517597   
        4.8694772135           1.1928831500   
        4.9185760496           1.2293869674   
        4.9676748857           1.2565025251   
        5.0167737217           1.2715192122   
        5.0658725578           1.2726615628   
        5.1149713939           1.2593961397   
        5.1640702299           1.2326055355   
        5.2131690660           1.1945878687   
        5.2622679021           1.1488628282   
        5.3113667381           1.0997946424   
        5.3604655742           1.0520734992   
        5.4095644102           1.0101241241   
        5.4586632463           0.9775278164   
        5.5077620824           0.9565480044   
        5.5568609184           0.9478374745   
        5.6059597545           0.9503789902   
        5.6550585906           0.9616740813   
        5.7041574266           0.9781536885   
        5.7532562627           0.9957465126   
        5.8023550988           1.0105134569   
        5.8514539348           1.0192448013   
        5.9005527709           1.0199231964   
        5.9496516070           1.0119792542   
        5.9987504430           0.9963031919   
        6.0478492791           0.9750188796   
        6.0969481152           0.9510677772   
        6.1460469512           0.9276819952   
        6.1951457873           0.9078423042   
        6.2442446233           0.8938155384   
        6.2933434594           0.8868471979   
        6.3424422955           0.8870531415   
        6.3915411315           0.8935155841   
        6.4406399676           0.9045507704   
        6.4897388037           0.9180859408   
        6.5388376397           0.9320669246   
        6.5879364758           0.9448174602   
        6.6370353119           0.9552864155   
        6.6861341479           0.9631457236   
        6.7352329840           0.9687341531   
        6.7843318201           0.9728731965   
        6.8334306561           0.9766051481   
        6.8825294922           0.9809153937   
        6.9316283282           0.9864992558   
        6.9807271643           0.9936195477   
        7.0298260004           1.0020779664   
        7.0789248364           1.0112969553   
        7.1280236725           1.0204845517   
        7.1771225086           1.0288380542   
        7.2262213446           1.0357363448   
        7.2753201807           1.0408761788   
        7.3244190168           1.0443229620   
        7.3735178528           1.0464677018   
        7.4226166889           1.0479039933   
        7.4717155250           1.0492571074   
        7.5208143610           1.0510075551   
        7.5699131971           1.0533518494   
        7.6190120332           1.0561337853   
        7.6681108692           1.0588627743   
        7.7172097053           1.0608155184   
        7.7663085413           1.0611982122   
        7.8154073774           1.0593327220   
        7.8645062135           1.0548247919   
        7.9136050495           1.0476762989   
        7.9627038856           1.0383159085   
        8.0118027217           1.0275403323   
        8.0609015577           1.0163777740   
        8.1100003938           1.0059018419   
        8.1590992299           0.9970346281   
        8.2081980659           0.9903796920   
        8.2572969020           0.9861190335   
        8.3063957381           0.9839944142   
        8.3554945741           0.9833756316   
        8.4045934102           0.9834004335   
        8.4536922462           0.9831564517   
        8.5027910823           0.9818677523   
        8.5518899184           0.9790487698   
        8.6009887544           0.9745962346   
        8.6500875905           0.9688033054   
        8.6991864266           0.9622964231   
        8.7482852626           0.9559109145   
        8.7973840987           0.9505328679   
        8.8464829348           0.9469400772   
        8.8955817708           0.9456730852   
        8.9446806069           0.9469592785   
        8.9937794430           0.9507006274   
        9.0428782790           0.9565218673   
        9.0919771151           0.9638637022   
        9.1410759512           0.9720974894   
        9.1901747872           0.9806353513   
        9.2392736233           0.9890129674   
        9.2883724593           0.9969303566   
        9.3374712954           1.0042467283   
        9.3865701315           1.0109364020   
        9.4356689675           1.0170214423   
        9.4847678036           1.0225011844   
        9.5338666397           1.0272984270   
        9.5829654757           1.0312370564   
        9.6320643118           1.0340575643   
        9.6811631479           1.0354673464   
        9.7302619839           1.0352140416   
        9.7793608200           1.0331643953   
        9.8284596561           1.0293694427   
        9.8775584921           1.0240994612   
        9.9266573282           1.0178384537   
        9.9757561642           1.0112364226   
       10.0248550003           1.0050264990   
       10.0739538364           0.9999212242   
       10.1230526724           0.9965064735   
       10.1721515085           0.9951519202   
       10.2212503446           0.9959536267   
       10.2703491806           0.9987181721   
       10.3194480167           1.0029900666   
       10.3685468528           1.0081166612   
       10.4176456888           1.0133387981   
       10.4667445249           1.0178920749   
       10.5158433610           1.0211032193   
       10.5649421970           1.0224684315   
       10.6140410331           1.0217048721   
       10.6631398692           1.0187716607   
       10.7122387052           1.0138616788   
       10.7613375413           1.0073692378   
       10.8104363773           0.9998407779   
       10.8595352134           0.9919161556   
       10.9086340495           0.9842671348   
       10.9577328855           0.9775380370   
       11.0068317216           0.9722918109   
       11.0559305577           0.9689635944   
       11.1050293937           0.9678234155   
       11.1541282298           0.9689499312   
       11.2032270659           0.9722176715   
       11.2523259019           0.9773006127   
       11.3014247380           0.9836945400   
       11.3505235741           0.9907592682   
       11.3996224101           0.9977793600   
       11.4487212462           1.0040388614   
       11.4978200823           1.0089024009   
       11.5469189183           1.0118925386   
       11.5960177544           1.0127522310   
       11.6451165904           1.0114821819   
       11.6942154265           1.0083457598   
       11.7433142626           1.0038387378   
       11.7924130986           0.9986265923   
       11.8415119347           0.9934574868   
       11.8906107708           0.9890633088   
       11.9397096068           0.9860633612   
       11.9888084429           0.9848850461   
       12.0379072790           0.9857131118   
       12.0870061150           0.9884742704   
       12.1361049511           0.9928581268   
       12.1852037872           0.9983694991   
       12.2343026232           1.0044024379   
       12.2834014593           1.0103234162   
       12.3325002953           1.0155506830   
       12.3815991314           1.0196185924   
       12.4306979675           1.0222193309   
       12.4797968035           1.0232190235   
       12.5288956396           1.0226497439   
       12.5779944757           1.0206826070   
       12.6270933117           1.0175892766   
       12.6761921478           1.0136996437   
       12.7252909839           1.0093622997   
       12.7743898199           1.0049122413   
       12.8234886560           1.0006476668   
       12.8725874921           0.9968154500   
       12.9216863281           0.9936033950   
       12.9707851642           0.9911369381   
       13.0198840003           0.9894784567   
       13.0689828363           0.9886284449   
       13.1180816724           0.9885289950   
       13.1671805084           0.9890708064   
       13.2162793445           0.9901049701   
       13.2653781806           0.9914599721   
       13.3144770166           0.9929629105   
       13.3635758527           0.9944622682   
       13.4126746888           0.9958482740   
       13.4617735248           0.9970664158   
       13.5108723609           0.9981203678   
       13.5599711970           0.9990624480   
       13.6090700330           0.9999724256   
       13.6581688691           1.0009284335   
       13.7072677052           1.0019761757   
       13.7563665412           1.0031038522   
       13.8054653773           1.0042297862   
       13.8545642133           1.0052075317   
       13.9036630494           1.0058496056   
       13.9527618855           1.0059666432   
       14.0018607215           1.0054146887   
       14.0509595576           1.0041405053   
       14.1000583937           1.0022140046   
       14.1491572297           0.9998385452   
       14.1982560658           0.9973337783   
       14.2473549019           0.9950912394   
       14.2964537379           0.9935088968   
       14.3455525740           0.9929160695   
       14.3946514101           0.9935033066   
       14.4437502461           0.9952721210   
       14.4928490822           0.9980166300   
       14.5419479183           1.0013435430   
       14.5910467543           1.0047295917   
       14.6401455904           1.0076078393   
       14.6892444264           1.0094679415   
       14.7383432625           1.0099517414   
       14.7874420986           1.0089254718   
       14.8365409346           1.0065134985   
       14.8856397707           1.0030853821   
       14.9347386068           0.9991967998   
       14.9838374428           0.9954938588   
       15.0329362789           0.9925977389   
       15.0820351150           0.9909909119   
       15.1311339510           0.9909264499   
