#  q,  S(q) neutrons
   0.4524085242        0.0902611993
   0.5015037072        0.0210232732
   0.5505988901       -0.0219108555
   0.5996940731       -0.0412092021
   0.6487892560       -0.0415365246
   0.6978844390       -0.0286761548
   0.7469796219       -0.0086007444
   0.7960748049        0.0133699316
   0.8451699879        0.0332082133
   0.8942651708        0.0485379554
   0.9433603538        0.0586862526
   0.9924555367        0.0644505695
   1.0415507197        0.0676488569
   1.0906459026        0.0705513706
   1.1397410856        0.0753060391
   1.1888362685        0.0834628658
   1.2379314515        0.0956787732
   1.2870266344        0.1116472095
   1.3361218174        0.1302535388
   1.3852170003        0.1499153952
   1.4343121833        0.1690340238
   1.4834073662        0.1864637314
   1.5325025492        0.2019048586
   1.5815977321        0.2161410585
   1.6306929151        0.2310710077
   1.6797880980        0.2495224862
   1.7288832810        0.2748761652
   1.7779784639        0.3105604235
   1.8270736469        0.3595011720
   1.8761688298        0.4236182385
   1.9252640128        0.5034513574
   1.9743591957        0.5979761031
   2.0234543787        0.7046375808
   2.0725495616        0.8195933325
   2.1216447446        0.9381232541
   2.1707399275        1.0551391659
   2.2198351105        1.1657141332
   2.2689302934        1.2655533632
   2.3180254764        1.3513435250
   2.3671206593        1.4209422690
   2.4162158423        1.4733995142
   2.4653110253        1.5088309957
   2.5144062082        1.5281873296
   2.5635013912        1.5329745958
   2.6125965741        1.5249833958
   2.6616917571        1.5060731419
   2.7107869400        1.4780397465
   2.7598821230        1.4425722388
   2.8089773059        1.4012820734
   2.8580724889        1.3557725754
   2.9071676718        1.3077083388
   2.9562628548        1.2588467921
   3.0053580377        1.2110057321
   3.0544532207        1.1659586373
   3.1035484036        1.1252698975
   3.1526435866        1.0901001695
   3.2017387695        1.0610238061
   3.2508339525        1.0379029617
   3.2999291354        1.0198557228
   3.3490243184        1.0053396679
   3.3981195013        0.9923507154
   3.4472146843        0.9787142401
   3.4963098672        0.9624258557
   3.5454050502        0.9419870194
   3.5945002331        0.9166783384
   3.6435954161        0.8867218617
   3.6926905990        0.8533013293
   3.7417857820        0.8184331366
   3.7908809649        0.7847062509
   3.8399761479        0.7549317712
   3.8890713308        0.7317580954
   3.9381665138        0.7173129818
   3.9872616967        0.7129282743
   4.0363568797        0.7189878880
   4.0854520627        0.7349177406
   4.1345472456        0.7593118478
   4.1836424286        0.7901662720
   4.2327376115        0.8251760767
   4.2818327945        0.8620426754
   4.3309279774        0.8987410225
   4.3800231604        0.9337071245
   4.4291183433        0.9659238579
   4.4782135263        0.9949034233
   4.5273087092        1.0205839461
   4.5764038922        1.0431721480
   4.6254990751        1.0629711601
   4.6745942581        1.0802314758
   4.7236894410        1.0950544372
   4.7727846240        1.1073636964
   4.8218798069        1.1169438967
   4.8709749899        1.1235308249
   4.9200701728        1.1269265155
   4.9691653558        1.1271082790
   5.0182605387        1.1243030603
   5.0673557217        1.1190071149
   5.1164509046        1.1119437241
   5.1655460876        1.1039657304
   5.2146412705        1.0959220829
   5.2637364535        1.0885157726
   5.3128316364        1.0821828693
   5.3619268194        1.0770184732
   5.4110220023        1.0727661396
   5.4601171853        1.0688747000
   5.5092123682        1.0646129769
   5.5583075512        1.0592213841
   5.6074027341        1.0520720748
   5.6564979171        1.0428075324
   5.7055931001        1.0314315467
   5.7546882830        1.0183354833
   5.8037834660        1.0042548273
   5.8528786489        0.9901637726
   5.9019738319        0.9771267209
   5.9510690148        0.9661329036
   6.0001641978        0.9579427212
   6.0492593807        0.9529715407
   6.0983545637        0.9512293599
   6.1474497466        0.9523244788
   6.1965449296        0.9555281338
   6.2456401125        0.9598870291
   6.2947352955        0.9643635781
   6.3438304784        0.9679805323
   6.3929256614        0.9699478023
   6.4420208443        0.9697541134
   6.4911160273        0.9672135070
   6.5402112102        0.9624650141
   6.5893063932        0.9559314825
   6.6384015761        0.9482491992
   6.6874967591        0.9401827716
   6.7365919420        0.9325395350
   6.7856871250        0.9260949525
   6.8347823079        0.9215359679
   6.8838774909        0.9194242232
   6.9329726738        0.9201766024
   6.9820678568        0.9240576286
   7.0311630397        0.9311772989
   7.0802582227        0.9414890094
   7.1293534056        0.9547848248
   7.1784485886        0.9706887193
   7.2275437715        0.9886516130
   7.2766389545        1.0079542075
   7.3257341375        1.0277241626
   7.3748293204        1.0469728302
   7.4239245034        1.0646537448
   7.4730196863        1.0797409281
   7.5221148693        1.0913206006
   7.5712100522        1.0986860237
   7.6203052352        1.1014227351
   7.6694004181        1.0994709763
   7.7184956011        1.0931538759
   7.7675907840        1.0831637892
   7.8166859670        1.0705045840
   7.8657811499        1.0563938091
   7.9148763329        1.0421346494
   7.9639715158        1.0289724295
   8.0130666988        1.0179534059
   8.0621618817        1.0098041747
   8.1112570647        1.0048480642
   8.1603522476        1.0029705777
   8.2094474306        1.0036398437
   8.2585426135        1.0059809095
   8.3076377965        1.0088955338
   8.3567329794        1.0112128581
   8.4058281624        1.0118518421
   8.4549233453        1.0099742767
   8.5040185283        1.0051078941
   8.5531137112        0.9972225506
   8.6022088942        0.9867482971
   8.6513040771        0.9745316531
   8.7003992601        0.9617346065
   8.7494944430        0.9496886871
   8.7985896260        0.9397228223
   8.8476848089        0.9329876584
